noun,detail,definition,definition_CH
a,a,aa,a
API,Application Programming Interface,"Languages, frameworks, and encoding interfaces provided by class libraries.",????????????????????????????
fish,fisher,dd,dd
G,,,
H,,,
I,,,
IoC,Inversion of Control,Control inversion is a design principle in...,控制反转是面向对象编程中的一种设计原则，可以...
K,,,
kid,kids are cute,,
L,,,
Linux,,,
MVC,Model View Controller,"A software design paradigm that organizes code in a way that separates business logic, data, and interface display",一种软件设计典范，用一种业务逻辑、数据、界面显示分离的方法组织代码
O,,,
P,,,
Q,,,
R,,,
S,,,
T,,,
U,,,
V,,,
W,,,
wawa,fdf,dd,dd
Windows,,,
witch,get time,,
X,,,
Y,,,
Z,,,
